"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Stephen Curry","GSW",70,2252,6.3576440569849035,18,1.8924091005741017,0.531575590048905,0.3614714012332554,0.1275781416117372,0.9993621092919414,0.0795198799699925,0.1654275092936803,0.021383647798742137
"Shaedon Sharpe","POR",72,2252,5.251736111111111,3,2.5824652777777777,0.7161458333333334,0.021701388888888888,0,0.3472222222222222,0.10075566750629723,0.16573816155988857,0.0021141649048625794
"De'Aaron Fox","SAS",62,2241,6.821106821106821,0,3.196053196053196,0.5791505791505791,0.0858000858000858,0,0.36465036465036466,0.1186966640806827,0.16482300884955753,0.01038961038961039
"Jalen Williams","OKC",69,2237,6.3779863481228665,4,3.2849829351535837,0.7252559726962458,0,0,0.21331058020477817,0.11956521739130435,0.16244725738396623,0
"Donovan Mitchell","CLE",71,2232,7.808455565142364,13,2.71786022433132,0.6255392579810182,0.4745470232959448,0.04314063848144953,0.7333908541846419,0.10299234516353514,0.16071428571428573,0.033690658499234305
"Harrison Barnes","SAS",82,2228,4.359255202628697,0,2.190580503833516,0.35049288061336253,0.02190580503833516,0,0.13143483023001096,0.13151041666666666,0.2457002457002457,0.002770083102493075
"Julius Randle","MIN",69,2226,7.497761862130707,0,3.4467323187108327,0.7162041181736795,0.06714413607878246,0,0.5595344673231871,0.1475563909774436,0.20615796519410978,0.00946372239747634
"Amen Thompson","HOU",69,2225,5.4694419840566875,0,2.7679362267493355,0.5093002657218778,0,0,0.22143489813994685,0.15644555694618273,0.1765536723163842,0
"Jaren Jackson Jr.","MEM",74,2207,8.432203389830509,0,3.961864406779661,1.0169491525423728,0.0635593220338983,0.0211864406779661,0.6991525423728814,0.13968957871396895,0.19418483904465214,0.005128205128205128
"Desmond Bane","MEM",69,2205,4.195804195804196,20,1.6105107014197924,0.4662004662004662,0.08476372112735749,0.02119093028183937,0.4662004662004662,0.074487895716946,0.11638591117917305,0.009501187648456057
"Naz Reid","MIN",80,2200,3.2041227873627607,2,1.5236388079766974,0.44812906116961687,0,0,0.29128388976025094,0.07003089598352215,0.13359528487229863,0
"Tyus Jones","PHX",81,2174,1.2913457181694608,0,0.2945174444947893,0,0.11327594019030358,0.06796556411418214,0.24920706841866788,0.025787965616045846,0.04406779661016949,0.01240694789081886
"Myles Turner","IND",72,2174,5.350719424460432,0,2.6079136690647484,0.5620503597122302,0.022482014388489208,0,0.33723021582733814,0.12956810631229235,0.2283464566929134,0.002531645569620253
"Evan Mobley","CLE",71,2167,6.7747667703243,1,3.531763660595291,0.9995557529986673,0.02221235006663705,0,0.3109729009329187,0.15588235294117647,0.20126582278481012,0
"Taurean Prince","MIL",80,2166,1.075268817204301,3,0.26881720430107525,0.06720430107526881,0.044802867383512544,0.022401433691756272,0.22401433691756273,0.026717557251908396,0.06382978723404255,0.005952380952380952
"Stephon Castle","SAS",81,2162,7.697471470127545,0,3.938241217274558,0.8950548221078541,0,0,0.35802192884314166,0.15658362989323843,0.2225031605562579,0
"Deni Avdija","POR",72,2161,8.433461800045341,1,4.239401496259352,1.0881886193606891,0.045341192473362046,0.045341192473362046,0.49875311720698257,0.1924643584521385,0.2921875,0.005847953216374269
"Jaylen Brown","BOS",63,2158,7.380242952097181,3,3.575521430208572,0.9397203758881504,0.09168003667201467,0.022920009168003668,0.412560165024066,0.12944983818770225,0.1782857142857143,0.0110803324099723
"Tim Hardaway Jr.","DET",77,2153,3.270184934596301,7,0.9472259810554804,0.2706359945872801,0.3382949932341001,0.09021199819576003,0.2931889941362201,0.07905686546463246,0.16600790513833993,0.03205128205128205
"Bennedict Mathurin","IND",72,2149,7.479161973417436,6,3.514305023653976,0.6307726965532777,0.04505519261094841,0,0.4054967334985357,0.1607324516785351,0.22510822510822512,0.006896551724137931
"Spencer Dinwiddie","DAL",79,2136,5.513955071477195,4,2.450646698434309,0.6580440208758793,0.27229407760381213,0.04538234626730202,0.2269117313365101,0.1556420233463035,0.2482758620689655,0.03571428571428571
"Scottie Barnes","TOR",65,2134,6.820234869015357,10,3.071364046973803,0.5645889792231256,0,0,0.4968383017163505,0.11584327086882454,0.15212527964205816,0
"Max Christie","DAL",78,2127,3.513638465094776,2,1.59500693481276,0.34674063800277394,0.04623208506703652,0.02311604253351826,0.3005085529357374,0.11007751937984496,0.20909090909090908,0.006349206349206349
"Josh Giddey","CHI",70,2117,4.977777777777778,0,2.3777777777777778,0.4666666666666667,0,0,0.35555555555555557,0.12104072398190045,0.17656765676567657,0
"Fred VanVleet","HOU",60,2113,3.202260419119378,11,0.9889333647280433,0.18836825994819872,0.09418412997409936,0,0.4709206498704968,0.05771643663739021,0.12650602409638553,0.008602150537634409
"Keyonte George","UTA",67,2108,6.517265035444774,7,2.675508804024697,0.7317630916990624,0.2515435627715527,0,0.5030871255431054,0.1252465483234714,0.23541247484909456,0.019342359767891684
"Dennis Schröder","BKN",75,2106,5.045550105115627,11,1.635131978509694,0.3270263957019388,0.046718056528848396,0,0.8409250175192712,0.08135593220338982,0.13671875,0.005361930294906166
"Damian Lillard","MIL",58,2093,9.063653136531366,16,2.6522140221402215,0.4843173431734317,0.8302583025830258,0.11531365313653137,0.8302583025830258,0.135183527305282,0.20462633451957296,0.06486486486486487
"Russell Westbrook","DEN",75,2092,5.309936189608022,0,2.5068368277119415,0.4785779398359161,0,0,0.38742023701002737,0.11956521739130435,0.17488076311605724,0
"Kelly Oubre Jr.","PHI",60,2078,4.41632847935068,1,2.2439723084268324,0.71616137502984,0.047744091668656,0,0.23872045834328,0.11895910780669144,0.1669626998223801,0.00819672131147541
"Luguentz Dort","OKC",71,2073,1.0643220731142988,0,0.5784359093012494,0.18509949097639983,0,0,0.04627487274409996,0.040983606557377046,0.12690355329949238,0
"Nickeil Alexander-Walker","MIN",82,2073,2.8175740210124163,6,1.0506208213944603,0.35816618911174786,0.09551098376313276,0.02387774594078319,0.35816618911174786,0.07407407407407407,0.16,0.010723860589812333
"Onyeka Okongwu","ATL",74,2064,4.901293396868618,0,2.337190832766054,0.5445881552076243,0,0,0.3857499432720672,0.13517060367454067,0.16775244299674266,0
"Malik Monk","SAC",65,2054,4.178403755868545,5,1.784037558685446,0.49295774647887325,0.07042253521126761,0,0.4225352112676056,0.07923771313941826,0.13427561837455831,0.0069605568445475635
"Jaylen Wells","MEM",79,2043,3.097040605643496,0,1.1470520761642578,0.3211745813259922,0.1605872906629961,0.022941041523285157,0.3670566643725625,0.07960893854748603,0.15673981191222572,0.017632241813602016
"Jalen Duren","DET",78,2035,5.767397521448999,0,2.836034318398475,0.667302192564347,0,0,0.3574833174451859,0.18681318681318682,0.18681318681318682,0
"Jalen Wilson","BKN",79,2031,4.104477611940299,12,1.5174129353233832,0.2736318407960199,0,0,0.5472636815920398,0.09104477611940298,0.19805194805194806,0
"Miles Bridges","CHA",64,2029,6.086748142822909,9,2.9475197699496767,0.8387251377905584,0.11981787682722263,0.047927150730889045,0.2875629043853343,0.10847457627118644,0.16918844566712518,0.011037527593818985
"Davion Mitchell","MIA",74,2027,2.058319039451115,1,0.9066405292820388,0.31854937515314874,0,0,0.2695417789757412,0.074,0.12802768166089964,0
"Franz Wagner","ORL",60,2023,7.703740401288085,7,3.368838246222442,0.4706465196928412,0.04954173891503592,0,0.5201882586078771,0.1078125,0.1468682505399568,0.005649717514124294
"Quentin Grimes","PHI",75,2013,5.186621425109064,5,1.74503150751333,0.5089675230247213,0.3393116820164809,0.09694619486185167,0.6543868153174988,0.09626274065685164,0.15894039735099338,0.030232558139534883
"Jordan Poole","WAS",68,2001,6.413857677902621,12,2.106741573033708,0.30430711610486894,0.2808988764044944,0.09363295880149813,0.8192883895131086,0.08939526730937773,0.1761252446183953,0.01904761904761905
"Devin Vassell","SAS",64,1983,2.926115581565472,2,1.3411363082175078,0.48768593026091195,0.17069007559131918,0.0487685930260912,0.14630577907827358,0.06673842841765339,0.1111111111111111,0.016129032258064516
"Draymond Green","GSW",68,1983,3.6055923473142015,0,1.3980868285504047,0.3924454255580083,0,0,0.613195977434388,0.10363636363636364,0.1875,0
"Klay Thompson","DAL",72,1965,1.8380526577247889,8,0.620963735717834,0.17386984600099353,0.07451564828614009,0,0.17386984600099353,0.031180400890868598,0.07309941520467836,0.00539568345323741
"Tyrese Maxey","PHI",52,1960,7.2814310909549,15,3.0486268581506675,0.9574200050390527,0.05039052658100277,0,0.8566389518770471,0.10459183673469388,0.17385057471264367,0.004166666666666667
"Norman Powell","LAC",60,1958,6.611776447105789,3,2.395209580838323,0.2994011976047904,0.3992015968063872,0.0998003992015968,0.5239520958083832,0.10758885686839577,0.15973377703826955,0.03636363636363636
"Yves Missi","NOP",73,1956,5.116629044394282,0,2.708803611738149,0.5016302984700276,0,0,0.10032605969400551,0.18652849740932642,0.18685121107266436,0
"Keon Ellis","SAC",80,1948,2.2085259373394965,1,0.7960965588084232,0.23112480739599384,0.15408320493066255,0,0.2054442732408834,0.07520325203252033,0.18787878787878787,0.01834862385321101
"Bilal Coulibaly","WAS",59,1948,4.504504504504505,1,2.3618212807401995,0.6330654979303628,0,0,0.19478938397857318,0.13956834532374102,0.2059447983014862,0
"Kyle Kuzma","MIL",65,1936,4.980276134122288,2,2.342209072978304,0.4437869822485207,0.04930966469428008,0.02465483234714004,0.27120315581854043,0.10475161987041037,0.15522875816993464,0.006369426751592357
"Julian Champagnie","SAS",82,1932,2.330193356470005,2,0.6693108577094695,0.17352503718393653,0.3966286564204264,0.0991571641051066,0.0495785820525533,0.05763688760806916,0.13170731707317074,0.026584867075664622
"Keon Johnson","BKN",79,1925,3.5945177139901734,3,1.6550297388156194,0.3361779156969227,0.025859839668994054,0,0.23273855702094648,0.07821901323706378,0.14918414918414918,0.0024875621890547263
"Naji Marshall","DAL",69,1919,4.049607694254619,1,2.0248038471273095,0.45558086560364464,0,0,0.22779043280182232,0.10335917312661498,0.14388489208633093,0
"Guerschon Yabusele","PHI",70,1896,3.663392620122113,1,1.645872046721529,0.34510220334483677,0,0,0.3185558800106185,0.10130718954248366,0.1834319526627219,0
"Jrue Holiday","BOS",62,1896,1.9974059662775616,0,0.7522697795071336,0.1815823605706874,0.02594033722438392,0,0.311284046692607,0.050335570469798654,0.10034602076124567,0.003257328990228013
"Gary Trent Jr.","MIL",74,1893,2.3711340206185567,2,0.8247422680412371,0.15463917525773196,0.20618556701030927,0.07731958762886598,0.15463917525773196,0.05813953488372093,0.128,0.0182648401826484
"Josh Green","CHA",68,1887,1.8711018711018712,0,0.6496881496881497,0.10395010395010396,0.15592515592515593,0.02598752598752599,0.12993762993762994,0.06935123042505593,0.12886597938144329,0.023715415019762844
