"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Alperen Sengun","HOU",76,2394,2.1555280528052805,2.2000830220008303,0.352843503528435,0.922509225092251,0.5125051250512506,0.1025010250102501,0.20755500207555003,0.14528850145288502,0,0,0,0,0.02050020500205002,0.04151100041511,8.302583025830259
"Rudy Gobert","MIN",72,2388,1.9083569256579638,1.762854144805876,0.6505771248688352,0.7334450963956413,0.44006705783738476,0,0.3987408184679958,0.02098635886673662,0,0,0,0,0.020955574182732608,0.04197271773347324,5.427493713327745
"Dillon Brooks","HOU",75,2388,2.504657420823846,2.155887230514096,0.20729684908789386,0.1653575857792476,0.14468788755684167,0.18602728400165358,0.2902155887230514,0.08291873963515754,0,0,0,0.020729684908789386,0,0,2.232327408019843
"Tobias Harris","DET",73,2306,1.449123175469915,1.8705338377469525,0.10508617065994115,0.1049317943336831,0.2098635886673662,0.06295907660020986,0.08406893652795293,0,0,0,0,0,0.02098635886673662,0.021017234131988232,2.539349422875131
"Jalen Brunson","NYK",65,2301,1.49577281595491,1.3040643338404694,0.19560965007607042,0.15135135135135136,0.08648648648648649,0.043243243243243246,0.6520321669202347,0.4346881112801565,0,0,0,0,0,0,8.864864864864865
"Darius Garland","CLE",75,2301,1.4947214382774119,1.2575979878432195,0.16767973171242925,0.1042535446205171,0.14595496246872394,0,0.4611192622091805,0.06287989939216097,0,0,0,0,0.020850708924103418,0.020959966464053657,4.733110925771476
"Jarrett Allen","CLE",82,2296,1.3327736383670898,1.6135792120704107,0.2933780385582565,0.588606264452386,0.25225982762245114,0.06306495690561278,0.2514668901927913,0.020955574182732608,0,0,0.020955574182732608,0,0,0.041911148365465216,5.402564641580828
"Chris Paul","SAS",82,2292,1.6080937167199147,1.5420860998072392,0.3212679374598415,0.08472781190425757,0.08472781190425757,0,0.0642535874919683,0,0,0,0,0.021417862497322766,0,0.021417862497322766,1.8004660029654733
"Anfernee Simons","POR",70,2292,1.257929254918826,1.4620511717910127,0.08600301010535369,0.043010752688172046,0.021505376344086023,0.08602150537634409,0.12900451515803052,0.06450225757901526,0,0,0,0,0.043010752688172046,0,2.989247311827957
"Giannis Antetokounmpo","MIL",67,2289,1.6510438858116745,1.430706811872731,0.1708306641042067,0.34006376195536664,0.4038257173219979,0.2763018065887354,0.06406149903907751,0,0,0,0,0.021353833013025837,0,0.021353833013025837,10.77577045696068
"Malik Beasley","DET",82,2283,1.311234658554495,1.283399957921313,0.06311803071744161,0.04184100418410042,0.10460251046025104,0.02092050209205021,0.1683147485798443,0,0,0,0,0,0.02092050209205021,0,2.2594142259414225
"Kentavious Caldwell-Pope","ORL",77,2279,1.5074262912879628,1.3953488372093024,0.132890365448505,0.06656312402928777,0.11093854004881296,0.02218770800976259,0.7530454042081949,0.0664451827242525,0,0,0,0,0,0,2.329709341025072
"Nikola Vučević","CHI",73,2278,1.6772998559374357,2.1864686468646863,0.1443894389438944,0.39014373716632444,0.2669404517453799,0.04106776180698152,0.06188118811881188,0,0,0,0,0.020627062706270627,0,0.020627062706270627,3.3675564681724848
"Payton Pritchard","BOS",80,2271,1.3209448113735587,0.920314253647587,0.20202020202020202,0.11165698972755694,0.11165698972755694,0.044662795891022775,0.08978675645342311,0.04489337822671156,0,0,0,0.04489337822671156,0.022331397945511387,0,1.9205002233139794
"Kevin Durant","PHX",62,2265,1.1242027888876878,1.1915077989601386,0.10831889081455806,0.30204962243797195,0.32362459546925565,0.043149946062567425,0.15164644714038128,0.021663778162911613,0,0,0,0.043327556325823226,0,0,7.141316073354909
"Stephen Curry","GSW",70,2252,1.0161514600492032,1.1838140335772707,0.06457167455876023,0.0212630236019562,0.106315118009781,0.0850520944078248,0.06457167455876023,0.12914334911752046,0,0,0,0,0.0212630236019562,0,5.251966829683181
"Shaedon Sharpe","POR",72,2252,1.303497718878992,1.0439321444106133,0.13049151805132667,0.1736111111111111,0.08680555555555555,0.08680555555555555,0.06524575902566333,0.04349717268377556,0,0,0,0,0,0.02174858634188778,4.1015625
"De'Aaron Fox","SAS",62,2241,1.76268271711092,1.3571736320551486,0.08616975441619991,0.0858000858000858,0.0858000858000858,0.0858000858000858,0.5385609651012495,0.021542438604049977,0,0,0,0.043084877208099955,0,0,5.598455598455598
"Jalen Williams","OKC",69,2237,1.688034188034188,1.6481164383561644,0.14982876712328766,0.06399317406143344,0.12798634812286688,0.06399317406143344,0.3210616438356164,0.08561643835616438,0,0,0,0,0,0,5.226109215017065
"Donovan Mitchell","CLE",71,2232,1.51285930408472,1.40753572975314,0.303161541792984,0.08628127696289906,0.10785159620362382,0.06471095772217429,0.17323516673884798,0.06496318752706799,0,0,0,0.021654395842355997,0.021570319240724764,0.06496318752706799,5.996548748921484
"Harrison Barnes","SAS",82,2228,0.8248102936324645,1.0379858657243817,0.06625441696113074,0.19715224534501644,0.06571741511500548,0.02190580503833516,0.044169611307420496,0.022084805653710248,0,0,0,0,0.02190580503833516,0,3.2201533406352683
"Julius Randle","MIN",69,2226,1.9590283219523117,1.702127659574468,0.2687569988801792,0.4252461951656222,0.6266786034019696,0.20143240823634737,0.04479283314669653,0,0,0,0,0.022396416573348264,0,0,5.752014324082364
"Amen Thompson","HOU",69,2225,1.8473451327433628,1.3483642793987622,0.26525198938992045,0.22143489813994685,0.1550044286979628,0.1771479185119575,0.13262599469496023,0.06631299734748011,0,0,0,0.06631299734748011,0.022143489813994686,0,3.8529672276350753
