"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Patrick Williams","CHI",63,1576,3388,16.706021251475796,3.217237308146399,7.201889020070838,0.44672131147540983,2.833530106257379,8.028335301062574,0.35294117647058826,0.35424354243542433,1.770956316410862,3.6599763872491144,2.7744982290436835,7.969303423848879,0.5312868949232585,0.5688073394495413,0.6262626262626263,0.9375,0.5271317829457365,0.550733786407767,0.4903100775193798,0.5117540687160941,0.5903187721369539,1.0330578512396693,0.14344262295081966,0.0590318772136954,0.007352941176470588,16.940615058324497
"Obi Toppin","IND",79,1545,3250,25.630769230769232,6.369230769230769,9.169230769230769,0.6946308724832215,3.3846153846153846,9.261538461538462,0.3654485049833887,0.3716216216216216,2.7384615384615385,9.661538461538461,3.076923076923077,9.784615384615385,0.36923076923076925,0.7584541062801933,0.8263157894736842,0.9636363636363636,0.5025041736227045,0.5762666666666666,0.6210350584307178,0.6417565485362096,1.0461538461538462,0.676923076923077,0.0738255033557047,0.09230769230769231,0.009966777408637873,19.806362378976488
"Grayson Allen","PHX",64,1544,3167,21.471424060625196,2.2102936532996527,4.389011682980739,0.5035971223021583,4.704767919166404,11.051468266498263,0.4257142857142857,0.4257142857142857,2.9365329965266813,3.094411114619514,1.3261761919797916,13.640669403220713,0.473634354278497,0.7,0.7,0.9664429530201343,0.7157464212678937,0.5355559304703477,0.6002044989775052,0.6307977736549165,0,0.4104831070413641,0.09352517985611511,0.15787811809283234,0.014285714285714285,17.443181818181817
"Ziaire Williams","BKN",63,1541,3056,20.680628272251308,3.6321989528795813,7.133507853403142,0.5091743119266054,3.3704188481675392,9.88219895287958,0.34105960264900664,0.3433333333333333,3.304973821989529,4.5811518324607325,2.683246073298429,9.914921465968586,0.19633507853403143,0.6306306306306306,0.7526881720430108,0.9805825242718447,0.5807692307692308,0.5695486486486487,0.510576923076923,0.5477430555555556,1.1780104712041886,1.1780104712041886,0.1651376146788991,0.06544502617801047,0.006622516556291391,18.48327566320646
"Sam Hauser","BOS",71,1541,3027,19.986785596299967,1.5857284440039643,2.4777006937561943,0.64,5.48397753551371,13.181367690782954,0.41604010025062654,0.41708542713567837,0.3633961017509085,2.576808721506442,0.5946481665014867,15.659068384539149,0.7928642220019821,0.8125,0.8478260869565217,0.9518072289156626,0.8417721518987342,0.5476202959830867,0.6265822784810127,0.6317991631799164,0.13214403700033037,0.03303600925008259,0.013333333333333334,0.09910802775024777,0.007518796992481203,14.363532110091741
"Victor Wembanyama","SAS",46,1527,3132,35.632183908045974,8.492975734355044,14.495530012771392,0.5859030837004405,4.533844189016603,12.867177522349936,0.3523573200992556,0.35768261964735515,5.044699872286079,11.94125159642401,5.044699872286079,11.685823754789272,1.9157088122605364,0.7030075187969925,0.7857142857142857,0.8591549295774648,0.47024504084014,0.5334223854289072,0.558926487747958,0.5942492012779552,1.7879948914431674,0.7982120051085568,0.05506607929515418,0.06385696040868455,0.004962779156327543,31.010850942318672
"Gabe Vincent","LAL",72,1525,3112,14.781491002570695,1.8958868894601542,3.5668380462724936,0.5315315315315315,3.5025706940874035,9.929305912596401,0.35275080906148865,0.3562091503267974,0.4820051413881748,2.2493573264781492,1.5424164524421593,9.15809768637532,1.3496143958868894,0.5932203389830508,0.603448275862069,0.8715596330275229,0.7357142857142858,0.5354875299760192,0.5297619047619048,0.5348837209302325,0.06426735218508997,0.2570694087403599,0.07207207207207207,0.12853470437017994,0.012944983818770227,13.553956834532373
"Jonas Valančiūnas","SAC",81,1524,3135,26.88995215311005,10.749601275917065,18.819776714513555,0.5711864406779661,0.2551834130781499,1.1802232854864434,0.21621621621621623,0.21621621621621623,4.625199362041467,12.312599681020734,9.186602870813397,0.7655502392344498,0,0.5727002967359051,0.7283018867924528,1,0.05901116427432217,0.5029556982343499,0.5566188197767146,0.6004273504273504,4.5933014354066986,1.244019138755981,0.06610169491525424,0,0,22.913759419480883
"Jerami Grant","POR",47,1524,3127,21.650143907898943,3.389830508474576,8.890310201471058,0.381294964028777,3.45378957467221,9.46594179724976,0.36486486486486486,0.36486486486486486,4.509114166933163,3.5177486408698435,3.261912376079309,9.977614326830828,0.38375439718580107,0.5188679245283019,0.5288461538461539,0.9629629629629629,0.5156794425087108,0.5488594076655052,0.46689895470383275,0.5248447204968945,0.12791813239526703,1.2472017908538535,0.14028776978417265,0.09593859929645027,0.010135135135135136,19.547835676867933
"Kyle Filipowski","UTA",72,1522,3165,21.80094786729858,5.781990521327014,9.415481832543444,0.6140939597315436,2.432859399684044,6.9510268562401265,0.35,0.3515981735159817,2.938388625592417,6.6982622432859396,4.865718799368088,6.8246445497630335,0.47393364928909953,0.5792349726775956,0.6666666666666666,0.935064935064935,0.4247104247104247,0.5292111545988258,0.5762548262548263,0.5948275862068966,1.5165876777251184,1.2322274881516588,0.13087248322147652,0.0315955766192733,0.004545454545454545,18.98135263011411
