"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"De'Aaron Fox","SAS",62,2241,3.7323037323037322,2.380952380952381,1.3513513513513513,0.6379310344827587,1.1797511797511797,0.3861003861003861,1.2012012012012012,0.5577005577005577,0.15015015015015015,0,0.02145002145002145,0
"Jalen Williams","OKC",69,2237,3.1996587030716723,1.9197952218430034,1.2798634812286689,0.6,0.9385665529010239,0.4052901023890785,0.9812286689419796,0.4906143344709898,0.1493174061433447,0,0.042662116040955635,0
"Donovan Mitchell","CLE",71,2232,3.2139775668679897,2.2648835202761,0.9490940465918896,0.7046979865771812,1.0353753235547887,0.15099223468507333,1.2295081967213115,0.36669542709232095,0.15099223468507333,0,0.04314063848144953,0
"Harrison Barnes","SAS",82,2228,1.095290251916758,0.6790799561883899,0.41621029572836804,0.62,0.21905805038335158,0.04381161007667032,0.4600219058050383,0.19715224534501644,0.06571741511500548,0,0,0
"Julius Randle","MIN",69,2226,4.386750223813787,2.439570277529096,1.947179946284691,0.5561224489795918,1.1638316920322291,0.17905102954341987,1.2757385854968666,0.5595344673231871,0.20143240823634737,0,0.08952551477170993,0.022381378692927483
"Amen Thompson","HOU",69,2225,3.0558015943312666,1.6607617360496014,1.3950398582816652,0.5434782608695652,0.70859167404783,0.37643932683790965,0.9521700620017715,0.28786536758193093,0.19929140832595216,0,0.08857395925597875,0.022143489813994686
"Jaren Jackson Jr.","MEM",74,2207,3.2415254237288136,1.7584745762711864,1.4830508474576272,0.5424836601307189,1.0593220338983051,0.1694915254237288,0.6991525423728814,0.1906779661016949,0.2754237288135593,0.0211864406779661,0.1694915254237288,0
"Desmond Bane","MEM",69,2205,3.581267217630854,2.097902097902098,1.483365119728756,0.5857988165680473,0.8476372112735749,0.14833651197287562,1.250264886628523,0.4662004662004662,0.33905488450942994,0,0.10595465140919687,0
"Naz Reid","MIN",80,2200,2.419896930315931,1.3667936365673314,1.0531032937485996,0.5648148148148148,0.6049742325789828,0.17925162446784673,0.7618194039883487,0.2688774367017701,0.17925162446784673,0.02240645305848084,0.08962581223392337,0
"Tyus Jones","PHX",81,2174,2.0616221114635254,1.359311282283643,0.7023108291798822,0.6593406593406593,0.20389669234254645,0.045310376076121435,1.1554145899410966,0.3624830086089715,0.06796556411418214,0,0.09062075215224287,0
"Myles Turner","IND",72,2174,2.7652877697841727,1.3264388489208634,1.4388489208633093,0.4796747967479675,0.49460431654676257,0.22482014388489208,0.8318345323741008,0.13489208633093525,0.15737410071942445,0.11241007194244604,0.06744604316546762,0.022482014388489208
"Evan Mobley","CLE",71,2167,3.220790759662372,1.7325633051976899,1.4882274544646823,0.5379310344827586,1.0217681030653043,0.22212350066637052,0.7107952021323856,0.3109729009329187,0.44424700133274103,0.02221235006663705,0.11106175033318526,0.0444247001332741
"Taurean Prince","MIL",80,2166,1.8369175627240144,1.1872759856630823,0.649641577060932,0.6463414634146342,0.33602150537634407,0.06720430107526881,0.8512544802867383,0.26881720430107525,0.15681003584229392,0,0.044802867383512544,0
"Stephon Castle","SAS",81,2162,3.9606175878272545,2.39427164913851,1.5663459386887446,0.6045197740112994,0.7831729693443723,0.38039829939583797,1.6110986797941373,0.5594092638174089,0.26851644663235624,0,0.04475274110539271,0
"Deni Avdija","POR",72,2161,4.443436862389481,3.2645658580820673,1.1788710043074133,0.7346938775510204,1.2468827930174564,0.15869417365676716,2.0176830650646114,0.43074132849693947,0.24937655860349128,0,0.022670596236681023,0
