"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Jaren Jackson Jr.","MEM",74,2207,3.135593220338983,8.008474576271187,1.3983050847457628,1.7372881355932204,0.6991525423728814,0.5508474576271186,0.1483050847457627,0.423728813559322,1.3135593220338984
"Desmond Bane","MEM",69,2205,7.819453273998729,19.050646323373595,4.40771349862259,3.411739775376139,2.37338419156601,1.9283746556473829,0.10595465140919687,0.9959737232464505,2.4157660521296886
"Naz Reid","MIN",80,2200,4.055568003585033,10.262155500784226,1.9045485099708717,2.151019493614161,1.2547613712749273,0.5377548734035402,0.11203226529240422,0.985883934573157,1.1651355590410037
"Tyus Jones","PHX",81,2174,9.719075668328047,24.286361576801088,4.870865428183054,4.848210240144994,2.1069324875396465,2.016311735387404,0.7476212052560036,1.3140009062075215,3.5342093339374716
"Myles Turner","IND",72,2174,2.495503597122302,5.642985611510792,1.8435251798561152,0.6519784172661871,1.1241007194244603,0.539568345323741,0.17985611510791366,0.17985611510791366,0.4721223021582734
"Evan Mobley","CLE",71,2167,5.019991115059973,12.9498000888494,2.1101732563305196,2.9098178587294536,1.288316303864949,0.7107952021323856,0.11106175033318526,0.8884940026654821,2.0213238560639715
"Taurean Prince","MIL",80,2166,3.4722222222222223,8.131720430107526,2.28494623655914,1.1872759856630823,1.478494623655914,0.5376344086021505,0.26881720430107525,0.6048387096774194,0.5824372759856631
"Stephon Castle","SAS",81,2162,7.428955023495189,18.214365629894832,4.072499440590736,3.356455582904453,3.0208100246140077,0.827925710449765,0.22376370552696354,1.3649586037144774,1.9914969791899755
"Deni Avdija","POR",72,2161,6.370437542507368,15.27998186352301,3.8313307639990932,2.5391067785082746,2.788483337111766,0.8161414645205168,0.22670596236681026,0.8161414645205168,1.7229653139877579
"Jaylen Brown","BOS",63,2158,6.555122622049049,16.662846665138666,3.0025212010084803,3.5526014210405683,2.2232408892963558,0.6646802658721064,0.11460004584001833,0.7334402933761174,2.8191611276644513
"Tim Hardaway Jr.","DET",77,2153,2.774018944519621,6.585475868290483,1.7365809652683808,1.0374379792512405,1.2629679747406406,0.4059539918809202,0.06765899864682003,0.4510599909788002,0.5863779882724403
"Bennedict Mathurin","IND",72,2149,3.063753097544492,7.366523991890065,1.8247353007434106,1.2390177968010814,1.0587970263572877,0.4730795224149583,0.2928587519711647,0.5181347150259067,0.7208830817751746
"Spencer Dinwiddie","DAL",79,2136,7.919219423644202,19.015203085999545,4.742455184933061,3.1767642387111414,3.0633083730428865,1.3614703880190606,0.3176764238711141,1.3841615611527116,1.7926026775584298
"Scottie Barnes","TOR",65,2134,8.536585365853659,19.850948509485097,5.7588075880758804,2.7777777777777777,4.065040650406504,1.5130984643179766,0.18066847335140018,0.8581752484191508,1.919602529358627
"Max Christie","DAL",78,2127,3.3749422098936663,8.321775312066574,1.8030513176144245,1.5718908922792418,1.1789181692094313,0.39297272306981046,0.2311604253351826,0.53166897827092,1.0402219140083218
"Josh Giddey","CHI",70,2117,11.177777777777777,27.177777777777777,6.355555555555555,4.822222222222222,4.088888888888889,1.9555555555555555,0.3111111111111111,1.6,3.2222222222222223
"Fred VanVleet","HOU",60,2113,7.840828820343772,18.460089474923475,5.06239698610784,2.7784318342359313,3.108076289145279,1.483400047092065,0.4709206498704968,1.0595714622086179,1.7188603720273135
"Keyonte George","UTA",67,2108,8.643951520695175,20.878115710038873,5.05373885204665,3.590212668648525,2.6297736107935057,2.2867596615595702,0.1372055796935742,1.760804939400869,1.829407729247656
