ShortName,PlusMinus,Minutes
"Norman Powell, Bam Adebayo, Davion Mitchell, Jaime Jaquez Jr., Andrew Wiggins",19.19326241134752,21
"Karl-Anthony Towns, OG Anunoby, Landry Shamet, Miles McBride, Jordan Clarkson",40.252525252525245,21
"Saddiq Bey, Herbert Jones, Trey Murphy III, Yves Missi, Jeremiah Fears",-30.35495716034272,20
"Norman Powell, Bam Adebayo, Davion Mitchell, Nikola Jović, Andrew Wiggins",-29.65186074429772,20
"Donte DiVincenzo, Naz Reid, Jaden McDaniels, Mike Conley, Rudy Gobert",5.128205128205124,20
"Tyus Jones, Goga Bitadze, Franz Wagner, Anthony Black, da Silva",-5.632984901277581,20
"Kevin Huerter, Patrick Williams, Jalen Smith, Tre Jones, Ayo Dosunmu",13.95348837209302,20
"Deandre Ayton, Rui Hachimura, Austin Reaves, Jake LaRavia, Dalton Knecht",-23.819163292847502,20
"Duncan Robinson, Javonte Green, Cade Cunningham, Jalen Duren, Ronald Holland II",-17.07317073170732,20
"Trey Murphy III, Jose Alvarado, Karlo Matković, Derik Queen, Micah Peavy",-1.904761904761912,20
"Justin Champagnie, Bilal Coulibaly, Alex Sarr, Kyshawn George, CJ McCollum",-7.607433217189325,20
"Alperen Sengun, Jabari Smith Jr., Tari Eason, Amen Thompson, Kevin Durant",9.523809523809518,20
"Onyeka Okongwu, Dyson Daniels, Keaton Wallace, Mouhamed Gueye, Zaccharie Risacher",30.60394889663182,20
"Jaylen Brown, Derrick White, Anfernee Simons, Luka Garza, Sam Hauser",18.886804252657925,19
"Kris Dunn, Ivica Zubac, Derrick Jones Jr., Nicolas Batum, James Harden",40.0,19
"Ziaire Williams, Day'Ron Sharpe, Jalen Wilson, Tyrese Martin, Drake Powell",-47.36842105263159,19
"Zion Williamson, Jordan Poole, Saddiq Bey, Herbert Jones, Trey Murphy III",-30.952380952380963,19
"Deni Avdija, Shaedon Sharpe, Toumani Camara, Donovan Clingan, Jerami Grant",-21.345029239766063,19
"Buddy Hield, Moses Moody, Brandin Podziemski, Al Horford, Jimmy Butler III",28.94736842105263,19
"Karl-Anthony Towns, OG Anunoby, Mikal Bridges, Jalen Brunson, Ariel Hukporti",-3.0487804878048763,19
"Pat Connaughton, Collin Sexton, Ryan Kalkbrenner, Kon Knueppel, Sion James",15.384615384615389,19
"Marvin Bagley III, Bilal Coulibaly, Kyshawn George, Khris Middleton, CJ McCollum",16.21621621621621,19
"Brandon Ingram, Sandro Mamukelashvili, Gradey Dick, Jamal Shead, Collin Murray-Boyles",44.13067552602436,19
"Wendell Carter Jr., Desmond Bane, Paolo Banchero, Anthony Black, da Silva",16.591591591591595,19
"Jaren Jackson Jr., Santi Aldama, Vince Williams Jr., Cam Spencer, Cedric Coward",5.064102564102569,19
"Trae Young, Nickeil Alexander-Walker, Onyeka Okongwu, Jalen Johnson, Dyson Daniels",-38.57142857142858,19
"Luke Kennard, Nickeil Alexander-Walker, Onyeka Okongwu, Jalen Johnson, Dyson Daniels",-26.726726726726724,19
"Jakob Poeltl, RJ Barrett, Immanuel Quickley, Scottie Barnes, Gradey Dick",5.409356725146196,19
"Michael Porter Jr., Terance Mann, Nic Claxton, Cam Thomas, Tyrese Martin",24.54954954954954,19
"Duncan Robinson, Javonte Green, Isaiah Stewart, Cade Cunningham, Ronald Holland II",-17.43589743589743,19
"Alex Caruso, Isaiah Hartenstein, Chet Holmgren, Ousmane Dieng, Ajay Mitchell",36.236933797909415,19
"Jaren Jackson Jr., Vince Williams Jr., Zach Edey, Jaylen Wells, Cedric Coward",1.3157894736842053,18
"Goga Bitadze, Desmond Bane, Franz Wagner, Paolo Banchero, Anthony Black",9.121621621621628,18
"Josh Okogie, Alperen Sengun, Tari Eason, Amen Thompson, Kevin Durant",-7.89473684210526,18
"Brandon Ingram, RJ Barrett, Immanuel Quickley, Scottie Barnes, Sandro Mamukelashvili",13.95348837209302,18
"Kelly Oubre Jr., Tyrese Maxey, Dominick Barlow, VJ Edgecombe, Joel Embiid",-7.017543859649123,18
"Kris Dunn, Ivica Zubac, John Collins, Nicolas Batum, James Harden",-24.183006535947698,18
"Kris Dunn, Ivica Zubac, John Collins, James Harden, Bogdan Bogdanović",21.3903743315508,18
"Kevin Huerter, Patrick Williams, Ayo Dosunmu, Josh Giddey, Nikola Vučević",-16.91919191919193,18
"Kris Dunn, Ivica Zubac, Derrick Jones Jr., James Harden, Kawhi Leonard",40.96310193871169,18
"Devin Booker, Grayson Allen, Jordan Goodwin, Mark Williams, Ryan Dunn",27.09956709956711,18
"Quentin Grimes, Tyrese Maxey, Trendon Watford, VJ Edgecombe, Andre Drummond",17.70833333333333,18
